Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
ADELAIDE,2015,7,296045,302047,40295,36893
BRISBANE,2015,7,772477,755862,246477,216603
CAIRNS,2015,7,192616,197402,28199,23289
CANBERRA,2015,7,123396,123872,0,0
DARWIN,2015,7,96148,99457,14992,12248
GOLD COAST,2015,7,223508,227796,49303,40515
HAMILTON ISLAND,2015,7,19019,19946,0,0
HOBART,2015,7,84845,88470,0,0
LAUNCESTON,2015,7,49223,51910,0,0
MACKAY,2015,7,39916,40450,0,0
MELBOURNE,2015,7,1088788,1042230,420433,358670
NEWCASTLE,2015,7,51791,52088,0,0
PERTH,2015,7,373233,391420,204453,182039
SYDNEY,2015,7,1134247,1139638,643544,567433
TOWNSVILLE,2015,7,73303,71720,0,0
ADELAIDE,2015,8,282798,277223,35798,34901
BRISBANE,2015,8,701345,703706,217948,232266
CAIRNS,2015,8,181781,189008,27312,30336
CANBERRA,2015,8,121935,119718,0,0
DARWIN,2015,8,84768,90408,11491,12008
GOLD COAST,2015,8,205291,207141,37253,37977
HAMILTON ISLAND,2015,8,21042,21156,0,0
HOBART,2015,8,80594,80957,0,0
LAUNCESTON,2015,8,46105,45411,0,0
MACKAY,2015,8,37652,37306,0,0
MELBOURNE,2015,8,987007,994987,363372,369533
NEWCASTLE,2015,8,48158,47567,0,0
PERTH,2015,8,345804,339311,168066,167076
SYDNEY,2015,8,1080332,1065663,553594,567291
TOWNSVILLE,2015,8,64519,66566,0,0
ADELAIDE,2015,9,279982,283113,35418,35682
BRISBANE,2015,9,734237,724209,222465,226764
CAIRNS,2015,9,180672,171210,23846,26196
CANBERRA,2015,9,121215,122296,0,0
DARWIN,2015,9,81414,81062,10797,10482
GOLD COAST,2015,9,233558,221191,40579,42342
HAMILTON ISLAND,2015,9,23255,21637,0,0
HOBART,2015,9,86809,83347,0,0
LAUNCESTON,2015,9,47215,46412,0,0
MACKAY,2015,9,36204,36478,0,0
MELBOURNE,2015,9,1003849,1002529,373604,370822
NEWCASTLE,2015,9,49787,50528,0,0
PERTH,2015,9,345190,354353,175801,178626
SYDNEY,2015,9,1087857,1109278,572834,579569
TOWNSVILLE,2015,9,66864,67845,1111,1698
ADELAIDE,2015,10,315821,304706,39982,32407
BRISBANE,2015,10,752480,761055,242288,216271
CAIRNS,2015,10,178571,187352,25590,23096
CANBERRA,2015,10,126705,122960,0,0
DARWIN,2015,10,73852,80226,11222,9569
GOLD COAST,2015,10,236242,241794,45123,40934
HAMILTON ISLAND,2015,10,23315,24246,0,0
HOBART,2015,10,99361,94374,0,0
LAUNCESTON,2015,10,56542,53452,0,0
MACKAY,2015,10,36013,36482,0,0
MELBOURNE,2015,10,1087942,1081715,422440,352894
NEWCASTLE,2015,10,53226,53114,0,0
PERTH,2015,10,376349,371879,201257,159865
SYDNEY,2015,10,1176002,1166705,639213,552224
TOWNSVILLE,2015,10,67865,67814,1815,1720
ADELAIDE,2015,11,296138,294450,30136,30705
BRISBANE,2015,11,716798,726921,202450,210900
CAIRNS,2015,11,165109,167707,21836,23067
CANBERRA,2015,11,127260,123247,0,0
DARWIN,2015,11,66020,67254,9269,9372
GOLD COAST,2015,11,212679,218157,38050,40108
HAMILTON ISLAND,2015,11,21629,22375,0,0
HOBART,2015,11,99925,99671,0,0
LAUNCESTON,2015,11,58767,57575,0,0
MACKAY,2015,11,33988,33821,0,0
MELBOURNE,2015,11,1040806,1038007,369057,367768
NEWCASTLE,2015,11,49346,50066,0,0
PERTH,2015,11,350883,348296,161118,156852
SYDNEY,2015,11,1135940,1126558,570432,579909
TOWNSVILLE,2015,11,59754,61357,348,881
ADELAIDE,2015,12,298324,301313,36126,43398
BRISBANE,2015,12,754152,733470,232652,268343
CAIRNS,2015,12,182390,171966,24899,27384
CANBERRA,2015,12,107340,116006,0,0
DARWIN,2015,12,59547,74649,8199,13996
GOLD COAST,2015,12,242367,230040,45218,51494
HAMILTON ISLAND,2015,12,23727,21671,0,0
HOBART,2015,12,119726,107224,0,0
LAUNCESTON,2015,12,70521,62644,0,0
MACKAY,2015,12,33735,35613,0,0
MELBOURNE,2015,12,1042951,1067979,408817,468826
NEWCASTLE,2015,12,50922,49590,0,0
PERTH,2015,12,366185,364502,177833,225340
SYDNEY,2015,12,1157667,1146169,643342,745391
TOWNSVILLE,2015,12,62377,66334,1571,1979
ADELAIDE,2016,1,282520,284142,44890,39537
BRISBANE,2016,1,668003,684524,272608,233848
CAIRNS,2016,1,166392,180143,28354,25600
CANBERRA,2016,1,95222,85827,0,0
DARWIN,2016,1,69180,55538,14691,10021
GOLD COAST,2016,1,247220,268967,52344,43905
HAMILTON ISLAND,2016,1,22617,24999,0,0
HOBART,2016,1,108012,124464,0,0
LAUNCESTON,2016,1,63517,72206,0,0
MACKAY,2016,1,30454,28859,0,0
MELBOURNE,2016,1,1054336,987466,479446,415848
NEWCASTLE,2016,1,46952,48275,0,0
PERTH,2016,1,339718,348882,239957,194026
