date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2015-03-01,68,良,42,87,7,1,35,84
2015-03-02,81,良,60,100,19,1.1,43,75
2015-03-03,97,良,57,144,11,0.7,37,77
2015-03-04,83,良,54,115,5,0.8,33,66
2015-03-05,58,良,33,66,7,0.8,31,42
2015-03-06,88,良,65,127,9,1,42,54
2015-03-07,119,轻度污染,90,155,18,1.1,48,38
2015-03-08,91,良,68,114,14,1.1,50,99
2015-03-09,125,轻度污染,95,156,24,2,73,85
2015-03-10,103,轻度污染,77,121,18,1,59,62
2015-03-11,72,良,53,75,10,0.8,34,98
2015-03-12,106,轻度污染,80,128,15,1.1,59,76
2015-03-13,110,轻度污染,83,127,13,1.3,65,115
2015-03-14,138,轻度污染,106,168,27,1.4,65,111
2015-03-15,126,轻度污染,96,136,17,1.2,56,100
2015-03-16,128,轻度污染,98,148,17,1.3,58,67
2015-03-17,83,良,59,91,13,1.1,48,139
2015-03-18,71,良,52,86,11,1.1,46,85
2015-03-19,58,良,37,66,12,1.1,46,72
2015-03-20,61,良,35,71,10,1,49,112
2015-03-21,78,良,42,74,9,0.9,42,134
2015-03-22,66,良,48,82,16,1,44,105
2015-03-23,62,良,38,68,19,1,44,114
2015-03-24,62,良,33,56,9,0.9,34,114
2015-03-25,77,良,56,91,12,1,47,96
2015-03-26,85,良,63,109,20,1.1,63,115
2015-03-27,131,轻度污染,107,196,31,1.5,80,76
2015-03-28,146,轻度污染,112,179,24,1.6,72,39
2015-03-29,113,轻度污染,85,127,10,1.4,50,138
2015-03-30,106,轻度污染,80,126,16,1.3,61,161
2015-03-31,119,轻度污染,90,148,24,1.2,68,129
2015-04-01,120,轻度污染,70,121,19,0.9,45,182
2015-04-02,80,良,39,83,8,0.7,33,136
2015-04-03,106,轻度污染,44,89,10,0.7,40,167
2015-04-04,74,良,30,70,12,0.6,31,129
2015-04-05,43,优,20,43,5,0.6,22,82
2015-04-06,44,优,14,31,13,0.7,27,87
2015-04-07,57,良,22,37,8,0.6,24,108
2015-04-08,51,良,33,52,5,0.8,36,84
2015-04-09,50,优,32,50,5,0.9,43,95
2015-04-10,53,良,30,51,7,0.7,37,104
2015-04-11,60,良,40,67,9,0.8,46,112
2015-04-12,82,良,44,83,10,0.8,42,138
2015-04-13,100,良,68,149,24,1.1,71,138
2015-04-14,110,轻度污染,76,170,24,1,68,141
2015-04-15,108,轻度污染,79,138,13,1,50,169
2015-04-16,145,轻度污染,93,188,18,1.4,72,210
2015-04-17,122,轻度污染,77,151,18,1.1,54,184
2015-04-18,76,良,54,103,16,0.8,32,121
2015-04-19,53,良,26,57,12,0.7,37,64
2015-04-20,70,良,46,89,25,0.9,54,101
2015-04-21,57,良,32,64,19,0.7,50,63
2015-04-22,49,优,23,49,8,0.7,48,82
2015-04-23,67,良,46,83,15,0.8,53,101
2015-04-24,109,轻度污染,48,83,14,0.7,42,170
2015-04-25,92,良,55,96,9,0.9,58,150
2015-04-26,118,轻度污染,86,145,12,1.2,71,180
2015-04-27,148,轻度污染,100,172,27,1.3,67,213
2015-04-28,141,轻度污染,103,171,24,1.1,70,205
2015-04-29,130,轻度污染,99,173,23,1.3,80,186
2015-04-30,117,轻度污染,88,160,23,1.1,72,162
2015-05-01,79,良,24,44,7,0.6,26,135
2015-05-02,95,良,39,86,13,0.8,44,154
2015-05-03,73,良,48,95,12,0.8,52,124
2015-05-04,93,良,20,44,17,0.6,28,152
2015-05-05,88,良,54,93,8,0.7,32,145
2015-05-06,131,轻度污染,72,126,12,0.8,50,194
2015-05-07,137,轻度污染,94,146,12,1,45,201
2015-05-08,104,轻度污染,27,60,7,0.6,41,164
2015-05-09,141,轻度污染,53,121,18,0.9,69,205
2015-05-10,130,轻度污染,65,137,22,0.9,57,193
2015-05-11,103,轻度污染,38,155,15,0.5,24,127
2015-05-12,113,轻度污染,54,176,14,0.6,44,167
2015-05-13,158,中度污染,65,160,23,0.8,55,223
2015-05-14,176,中度污染,83,175,25,1,67,241
2015-05-15,103,轻度污染,58,106,10,0.8,36,163
2015-05-16,78,良,37,71,9,0.7,31,133
2015-05-17,86,良,46,76,7,0.8,30,143
2015-05-18,135,轻度污染,58,109,21,1,51,199
2015-05-19,165,中度污染,71,121,18,1,63,230
2015-05-20,139,轻度污染,70,118,14,1,55,203
2015-05-21,74,良,28,50,6,0.7,35,129
2015-05-22,72,良,17,34,7,0.6,33,126
2015-05-23,131,轻度污染,32,66,13,0.7,46,194
2015-05-24,97,良,38,69,8,0.8,38,156
2015-05-25,60,良,41,69,20,0.8,40,90
2015-05-26,84,良,62,105,14,1,52,103
2015-05-27,112,轻度污染,84,149,13,1.1,52,168
2015-05-28,87,良,65,112,11,1.1,51,122
2015-05-29,74,良,11,22,7,0.7,31,129
