B站id,昵称,性别,回复内容
在国家最需要的时候挺身而出，这就是英雄。,391610195,居然有位刺客,男
营长好帅[打call],102604996,糟糕网页无法访问,男
[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加],315501429,澄苑离i,男
营长好,349986074,漫步天地间逍遥行天下,男
为什么只是个二级号[微笑],506169768,泰拉大陆的一名博士,男
[打call][打call][打call],87640040,Kurumi_JC,保密
做的真好！,22167333,全世界最好的拜仁,男
阿婆主好棒！！我体会到时代精神了！！向时代精神致敬！,199523961,是阿九酱呐,女
你咋这么厉害呢！！,26050554,보블리,保密
哈哈哈哈哈手机拍摄不易,161170883,三金爱喝口服液,保密
哈哈哈，很棒,20092931,方程as,男
"哇哦，那收悉的背景音乐，营里最爱之一[鼓掌]。
感谢，参考到了~",258142389,所谓伊人啊啊啊啊,保密
求求求！！！,475095404,我超无聊的啊,保密
想问背景音乐是什么[害羞],475095404,我超无聊的啊,保密
强！,401592412,手感上佳的强仔,男
学习 学习,324105466,掉队的星火,男
啊这,89519792,介里面不能趟浪水丶,保密
老王影帝,46256660,夜646497,男
[吃瓜],37881286,啥都不会柯某人,男
第一,8455185,ArtoriaEGO,保密
妖王我给你投币了！,168525012,味道还行的拔丝煎蛋,男
火钳刘明,108003572,落秋嘞,男
帅得一批，配乐我圆哥！,9837810,焦糖居士,男
一楼,33132626,他整天都在睡觉,男
你们可真会玩，，，，，，[喜极而泣],287962974,平淡淡淡淡,保密
2楼,19579306,风之回忆枫色相簿,保密
？👵,628808862,鹰扬他弟,保密
准辽宁大学生前来报到！话说学校的通知书是真的慢啊。。。,86261783,レムが大好きだ,男
开学第一星期在课桌上看到的[笑哭]九江技院无娇娘，残花败柳排成行，纵有鸳鸯三两对，也是野鸡陪色狼[喜极而泣]老学长想知道这个课桌还在不在？？,597096179,榣山一鱼,男
去参加直招士官是对的！血泪推荐，我一个死党现在还在北海舰队，第8年了,597096179,榣山一鱼,男
好惨一账号[doge],44824609,发现登徒子,男
up主要毕业了？,591877928,曾许人间布衣流,保密
帅！,23093540,笑傲医生,男
现在汉奸在很多人心里都成了中性词[笑]希望学校多几个郑强做领导[笑哭],316152838,儿童银行行长,保密
多几个就好,456577386,喜欢日本文化的まい,保密
怕尾大不掉，卓尔不群，其实想太多，整个汉就一个张骞，唐就一个玄奘，宋就一个文天祥，哪有那么多愤青啊！,10925990,问君几多梦,保密
败北,76568109,心中有爱的男孩,男
阳人，阳人，阳人[惊喜][惊喜][惊喜],399944597,二十倍乙炔,保密
哈哈哈我的好朋友也在西工大,151860739,一之戈,保密
TQL[热词系列_爱了爱了],259428135,Sweeneyliu,男
政哥帅,479110288,攀枝鹤,保密
小阳子NB,32319488,relativity-,男
"阳人nb
yyds",660355159,喵大白-安和,男
沙发[打call][打call][打call],470251548,Aerobuster,保密
强哥太帅了[微笑],49403676,离人丶无归,男
幕后剪完后，就会给大家看的[小电视_笑],20689112,一叶之萌耳,女
omg!主角真是举手投足之间都是戏啊,385019508,紫狐狸的夏天,保密
我我我,177155889,摔不死的喵,保密
小成本,481786034,bili_13355902661,保密
再遇长理,108108412,肌肉不块的老块,男
啥家庭啊啥设备啊,12614250,ok朕朕_,男
UP主厉害,177155889,摔不死的喵,保密
我太帅了，没有办法，你们也帅啊,177155889,摔不死的喵,保密
66666666666666666666,3834127,DIF31209,男
6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,35483819,一刹那的风华-,男
我们为什么这么帅,177155889,摔不死的喵,保密
强👍,9173011,小怕PA,男
加油,300383063,溴麝香草酚兰水溶叶,保密
等上传校庆,294594207,绘梨衣是耶,保密
小闪电小闪电[tv_doge],24096071,三柒贰十壹,保密
[2233娘_卖萌],195534313,喜欢莉亚,男
我来了[doge],44824609,发现登徒子,男
二级号，趁现在欺负一下[doge],179809507,我和我的02老婆,保密
欺负一下母校官方[doge],97140439,古月正文,男
怎么没有小闪电,15366266,llm单推,保密
火钳刘明[OK],390462252,89852868250_bili,保密
[微笑],390462252,89852868250_bili,保密
永远跟党走[支持],77466642,常夏夜夜,保密
我来了！,478997488,紫陌寒烟6092,男
永远跟党走[支持],622819264,Dove_Zan,男
[支持][支持][支持],12821188,丛雨_ムラサメ,男
哈哈哈哈哈手机拍摄不易,161170883,三金爱喝口服液,保密
哈哈哈，很棒,20092931,方程as,男
"哇哦，那收悉的背景音乐，营里最爱之一[鼓掌]。
感谢，参考到了~",258142389,所谓伊人啊啊啊啊,保密
求求求！！！,475095404,我超无聊的啊,保密
想问背景音乐是什么[害羞],475095404,我超无聊的啊,保密
强！,401592412,手感上佳的强仔,男
做的真好！,22167333,全世界最好的拜仁,男
