﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
【2019寻找最美教师】让思政课活起来，南航“川哥”愿当陪读者（徐川）,05:08,734,0,地铁达人守望者,2019-09-10,https://www.bilibili.com/video/BV1pJ411K7uw?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=67288479&sort=1
我心中的思政课----思修微电影,08:13,2648,2,antonzonda,2020-06-15,https://www.bilibili.com/video/BV1wp4y1Q78H?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968618916&sort=1
我心中的思政课——立德树人,04:48,3707,4,海东DWJ,2018-11-15,https://www.bilibili.com/video/BV1rt41127of?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=35987932&sort=1
《神秘邮件》|思政课社会主义核心价值观微电影,09:15,138,2,Xiejia-ying,2020-12-19,https://www.bilibili.com/video/BV1Rp4y1z7ik?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=970648032&sort=1
我的思政课《勿忘革命先烈 传承红色精神》,10:29,3001,1,Royal期望,2018-11-26,https://www.bilibili.com/video/BV1at41197xU?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=36801502&sort=1
华东师范大学 我的思政课 参赛作品,12:28,1613,0,kk柯子,2019-06-10,https://www.bilibili.com/video/BV1C4411N7bb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=55177503&sort=1
我心中的思政课 微电影——《贷悟》,06:11,246,0,满兮c,2020-12-07,https://www.bilibili.com/video/BV1u64y1f7oy?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=755513926&sort=1
我心中的思政课,04:15,1162,0,南兮一伏击,2020-05-06,https://www.bilibili.com/video/BV1ni4y1b7qz?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=540521685&sort=1
北大思政课第四集：中国道路为什么值得自信？,44:32,8860,3,北京大学,2019-12-05,https://www.bilibili.com/video/BV18J411B7ZY?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=78114311&sort=1
李晓霞 思政课《我骄傲，我是中国人》,05:56,157,0,同心逐梦,2020-10-20,https://www.bilibili.com/video/BV135411L7Vi?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=457541378&sort=1
思政课,13:51,48,0,SwagSwagWa,2020-12-31,https://www.bilibili.com/video/BV1ap4y1B73H?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=970901676&sort=1
大学生思政课,12:59,1100,0,清-风-徐-徐,2019-04-28,https://www.bilibili.com/video/BV1m4411b7LN?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=50734136&sort=1
