电影名称,上映时间,票房(万元),平均票价,场均人次,电影链接
远去的牧歌,2018-09-11 上映,532,55.99104811,114,http://piaofang.maoyan.com/movie/1236912
急速逃脱,2019-10-12 上映,5510,72.114911211,11,http://piaofang.maoyan.com/movie/1219701
狭路相逢,2014-12-31 上映,51111,39.452945,56,http://piaofang.maoyan.com/movie/668097
罗宾汉：起源,2019-12-27 上映,568,75.53397,11,http://piaofang.maoyan.com/movie/341823
坂本龙一：终曲,2019-12-16 上映,567,78.5246117,10,http://piaofang.maoyan.com/movie/1203046
阳台上,2019-03-15 上映,799,711.113811108,11,http://piaofang.maoyan.com/movie/1212353
浴血广昌,2018-08-01 上映,793,310.6323,47,http://piaofang.maoyan.com/movie/1223430
道具师,2019-10-31 上映,744,114.21167114,5,http://piaofang.maoyan.com/movie/1278472
灰猴,2019-07-23 上映,744,76.538388,11,http://piaofang.maoyan.com/movie/1229894
亲密旅行,2019-10-03 上映,743,75.9103587,3,http://piaofang.maoyan.com/movie/1260354
花儿与歌声,2019-05-31 上映,788,72.289383,610,http://piaofang.maoyan.com/movie/1281621
尺八·一声一世,2019-05-31 上映,783,710.9481010,62,http://piaofang.maoyan.com/movie/1215829
民警攻略,2019-11-13 上映,785,78.51151077,1110,http://piaofang.maoyan.com/movie/1290390
衣柜里的冒险王,2019-11-29 上映,787,76.610811410,11,http://piaofang.maoyan.com/movie/518396
