垃圾焚烧,垃圾炉,宁波众茂姚北热电有限公司
化工,总排放口,浙江古纤道新材料股份有限公司
纺织染整,排放口,宁波大贯制线有限公司
纺织染整,标排口,浙江商隆印染有限公司
水泥,1#废气排放口,浙江红狮水泥股份有限公司
水泥,窑头,浙江虎鹰水泥有限公司
纺织染整,标排口,宁波波迪针织有限公司
化工,污水处理场排放口,宁波科元塑胶有限公司
热电,旁路排放口,宁波久丰热电有限公司
热电,1#标排口,台州市椒江热电有限公司
污水处理厂,总排口,永康市钱江水务有限公司城市污水处理厂
化工,含盐污水华清排放口,宁波中金石化有限公司
热电,超清2#,绍兴远东热电有限公司
皮革,标排口,兰溪市鑫华制革有限责任公司
化工,PTA厂高压吸收塔,台化苯酚（宁波）有限公司
医药,1#一厂区排口,浙江永太科技股份有限公司
垃圾焚烧,3#排放口,长兴新城环保有限公司
纺织染整,1#排口,台州市椒江星明印染厂
皮革,入管网口,浙江祥隆皮革有限公司
纺织染整,2#排放口,浙江宇展印染有限公司
纺织染整,标排口,湖州永升纺织印染有限公司
垃圾焚烧,2号炉,浙江诸暨八方热电有限责任公司
纺织染整,入网口,浙江荡湾纺织科技有限公司（原海宁市许村荡湾印染有限公司）
火电,2#排放口,浙江才府玻璃股份有限公司
污水处理厂,标准排放口,温州市创源水务有限公司（温州市西片污水处理厂）
造纸,标排口1#,杭州晨达特种纸业有限公司
污水处理厂,总排口,湖州南浔城投千金污水处理有限公司
垃圾焚烧,标排口1#,温州龙湾伟明环保能源有限公司
电镀,标排口,义乌市振兴首饰品电镀厂
纺织染整,废水排放口,杭州金剑漂染有限公司
造纸,废水标排口,富阳市亭山造纸二厂
纺织染整,标排口,沪江控股有限公司
污水处理厂,标排口,杭州余杭水务有限公司塘栖污水处理厂
造纸,标排口,杭州华丰纸业有限公司
纺织染整,标准排放口,温州市新力实业公司
金属加工,总排放口,浙江健力股份有限公司
化工,标准排放口,嘉利达（苍南）明胶有限公司
污水处理厂,废水排放口,湖州妙西原乡市政有限公司
电镀,废水排放口,桐庐美磁表面处理有限公司（原恒剑塑料制笔表面处理厂）
啤酒,标排口,杭州千岛湖啤酒有限公司
热电,1#废气排放口,浙江富春江环保热电股份有限公司
污水处理厂,总排口,浙江湖州金洁水务股份有限公司
纺织染整,标排口,绍兴鹰翔染整有限公司
合成革,标排口1,浙江东海岸实业有限公司
电镀,1#排口,余姚市南山电镀厂(浙江青泽环保科技有限公司)
化工,歧化加热炉烟气G3-2,宁波中金石化有限公司
