管理级别,排放去向,站点编码,所属区域,所属行业,站点名称,组织机构代码,企业名称
3,,33331082000901,331082,化工,1#排口,91331082698269983T,浙江台州市联创环保科技股份有限公司
3,,33330682000981,330604,化工,总排口,91330600734494070M,上虞市解氏化学工业有限公司
3,,33331081000141,331081,污水处理厂,1#排口,91331081MA28HMTG61,温岭市松门镇污水处理厂
3,,33330185112601,330185,电镀,标排口1#,91330185718534468D,临安宝马机电有限公司
3,,33330206001021,330206,电镀,废水排放口,91330206144271352G,宁波市北仑柴桥电镀冲件厂
3,,33330199022961,330162,化工,污水排放口,91330100704284689P,杭州前进科技有限公司
3,,33331021000421,331021,重金属,1#排口,913310007625138656,台州蓝德斯光学有限公司
3,,33330621001062,330603,热电,2#废气排放口,91330621609663381C,绍兴美佳热电有限公司
3,,33330782011161,330782,纺织染整,标排口,91330782712572509Q,浙江宝娜丝袜业有限公司
3,,33330206000291,330206,污水处理厂,废水排放口,91330206726387291X,宁波北仑岩东水务有限公司春晓污水处理厂
3,,33330421000152,330421,热电,废气排放口,91330421609459022C,浙江嘉善协联热电有限公司
3,,33330861000641,330861,化工,纳管出口,9133080066394992XN,浙江正和硅材料有限公司
3,,33330226000361,330226,电镀,标排口1#,913302267280968422,宁海县同兴氧化厂
3,,33330782011531,330782,纺织染整,标排口,3307821153,义乌市新彩虹工艺地毯有限公司
3,,33330421000031,330421,污水处理厂,废水排放口,91330421790951520U,西部水务(嘉兴）有限公司
3,,33330211200304,330211,化工,加氢加热炉烟气G2-2,91330211764527945N,宁波中金石化有限公司
3,,33330185000511,330185,造纸,标排口1#,91330185668011519P,临安市瑞丰纸业有限公司
3,,33330523000132,330523,火电,废气排放口,91330500719540833W,浙江永裕高耐竹科技有限公司
3,,33330402105074,330402,化工,VOCs排放口,91330402743469977R,浙江友联化学工业有限公司
3,,33330782000201,330782,纺织染整,标排口,913307826097899102,浙江义乌联发针织品有限公司
3,,33330664000052,330662,医药,YWQ,91330600325593940P,浙江省昌海生物有限公司
3,,33330783000251,330783,纺织染整,标排口,91330783715480036X,东阳市旺鑫印染有限公司
3,,33330402010961,330402,daxingchuqinyangzhi,入网口,91330402698279970L,嘉兴敦好农牧有限公司
3,,33330206000702,330206,化工,水煤浆锅炉烟气排放口,913302065736586519,宁波金发新材料有限公司（原名：宁波海越新材料有限公司）
3,,33330503100011,330503,纺织染整,标排口,913305030797395281,湖州巨赢纺织有限公司
3,,33330326000371,330326,食品加工,标准排放口,91330326742901924D,温州德源胶业有限公司
3,,33330381000271,330381,污水处理厂,进水口,3303G201-7,瑞安市马屿镇污水处理厂
3,,33331082000411,331082,医药,1#排口,91331082MA2AKY5T0M,台州达辰药业有限公司
3,,33330304000531,330304,皮革,标准排放口,91330304749047249R,温州市瓯海区东胜皮业有限公司
3,,33330281000431,330281,电镀,1#排口,91330281058260454G,余姚市锦坤电镀有限公司
3,,33330482000331,330461,化工,纳管口,913304007782903872,浙江合盛硅业有限公司
3,,33330206000091,330206,纺织染整,标准排放口,91330206742186326T,宁波武田纺织有限公司
3,,33330602000262,330601,热电,废气排放口,14300202-X,浙江漓铁集团有限公司
3,,33330183005681,330111,电镀,废水排放口,91330183321893962C,杭州富阳华丰表面精饰科技有限公司
3,,33330183000281,330111,造纸,废水排放口,91330183747155318U,浙江万众纸业有限公司
3,,33330183000011,330111,造纸,废水排放口,91330000142943485E,浙江三星纸业股份有限公司
3,,33330682001651,330604,化工,总排口,913306007276111281,绍兴上虞洁华化工有限公司
3,,33330424000031,330424,造纸,排海口,913304247392365998,浙江山鹰纸业有限公司(原吉安集团股份有限公司)
3,,33330861000421,330861,化工,废水排放口,91330800667105345L,衢州建华东旭助剂有限公司
3,,33330861000131,330861,化工,废水排放口,91330800787745814Q,浙江邦成化工有限公司
3,,33330781000141,330781,造纸,标排口,70457321-0,浙江兰溪市华伦造纸有限公司
3,,33330503000171,330503,纺织染整,标排口,913305007696035480,湖州神龙服饰染整有限公司
3,,33330226000251,330226,电镀,标排口1#,9133022661022604X8,宁海县西店空调配件厂
3,,33330664000032,330662,医药,RTO,91330600325593940P,浙江省昌海生物有限公司
3,,33330782011101,330782,电镀,标排口,91330782X09727302D,义乌市鸿运首饰品电镀厂
3,,33330304000511,330304,皮革,标准排放口,91330304MA297418XY,温州鸿泰皮业有限公司
3,,33330304000501,330304,金属加工,标准排放口,91330304MA297EJF91,温州市精进喷涂有限公司
3,,33330902013041,330902,金属加工,标排口,91330902768699859H,浙江正和造船有限公司
3,,33330782011321,330782,纺织染整,标排口,3307821132,义乌市蓝天实业有限公司
3,,33331082000681,331082,电镀,标排口,91331082147997132N,临海市宏达电镀厂
3,,33330411000031,330411,纺织染整,总排口,913304117227920111,嘉兴市金乐染织有限公司
3,,33330326000421,330326,污水处理厂,水头排放口,91330326583588861G,浙江国水环保科技有限公司（水头污水处理厂）
3,,33331082000561,331082,合成革,1#排口,91331082670293682W,浙江晨马皮革有限公司
3,,33330327000081,330327,食品加工,标准排放口,913303277043719775,温州市老李食品有限公司
3,,33330682001641,330604,纺织染整,总排口,91330604727633001B,上虞市霓虹漂染有限公司
3,,33330304000481,330304,皮革,标准排放口,91330304254497731P,温州市瓯海中大皮业有限公司
3,,33330381000031,330381,皮革,标准排放口,91330381145688037G,温州海洋皮业有限公司(浙江世茂皮业有限公司)
3,,33330825000031,330825,造纸,废水标排口,913308007392199400,浙江恒达新材料股份有限公司（原名为浙江恒达纸业有限公司）
3,,33330682000861,330604,化工,总排口,913306007498339875,上虞普尔树脂有限公司
3,,33330621000971,330603,化工,标排口,91330621746342680W,浙江嘉业化工有限公司
3,,33330664000042,330662,医药,导热油,91330600325593940P,浙江省昌海生物有限公司
3,,33330682000881,330604,化工,总排口,91330000751154748Y,浙江皇马科技股份有限公司
3,,33330303000091,330303,污水处理厂,标准排放口,913303007829309657,温州中环水务有限公司（温州市东片污水处理厂）
3,,33330109027334,330109,化工,排放口,91330109722784791C,浙江手心制药有限公司
3,,33330281000521,330281,纺织染整,1#排口,91330281062919637C,宁波大军长毛绒有限公司
3,,33330825000211,330825,造纸,标排口,913308253136273301,浙江麦宝龙特种纸业有限公司
3,,33330302000141,330302,污水处理厂,标准排放口,913303026855903725,温州清波污水处理有限公司（鹿城轻工园区污水处理厂）
3,,33330783000411,330783,纺织染整,标排口,91330783MA28EC6T2R,东阳市年代针织有限公司
3,,33330381000381,330381,污水处理厂,标准排放口,91330381MA2855FUXP,瑞安市富春紫光水务有限公司（江南污水处理厂）
3,,33330781000301,330781,医药,标排口,91330000142924161N,浙江康恩贝制药股份有限公司
3,,33330382000082,330382,垃圾焚烧,1#,913303007511976845,德长环保股份有限公司（德力西长江环保投资有限公司）
3,,33330183002111,330111,造纸,废水排放口,913301837517471134,浙江恒昇纸业有限公司
3,,33330381000212,330381,造纸,标准排放口,913303817210834593,瑞安市五心纸业有限公司
3,,33331123000041,331123,造纸,标排口,913300007047850454,浙江凯恩特种材料股份有限公司
3,,33331082000871,331082,纺织染整,1#排口,91331082255194476Y,临海市锦德股份有限公司
3,,33331082000991,331082,重金属,1#排口,9133108276644166XW,台州市恒源金属科技股份有限公司
3,,33330523001071,330523,造纸,标排口,91330523307410450K,浙江华丰纸业科技有限公司
3,,33330225000051,330225,食品加工,标排口,913302257264084789,象山南方水产食品有限公司
3,,33331003000331,331003,重金属,1#排口,91331003668334836W,台州市黄岩环合电镀有限公司
3,,33331081000331,331081,重金属,1#排口,913310811483123429,温岭市浦发电镀有限公司
3,,33330303000711,330303,化工,标准排放口,91330303845227127M,一帆生物科技集团有限公司
3,,33330182000082,330182,热电,建德热电厂排放口,913300001429192743,浙江新安化工集团股份有限公司
3,,33330861000171,330861,化工,废水排放口,755911910,浙江巨成化工有限公司
3,,33330402000291,330402,化工,废水总排放口,9133000077826404X2,浙江卫星石化股份有限公司
3,,33330902013061,330902,食品加工,标排口,91330900733230065W,舟山中海粮油工业有限公司
3,,33330621000341,330603,纺织染整,标排口,91330621721077868F,绍兴县吉美印染有限公司
3,,33330782010861,330782,纺织染整,标排口,913307825547728708,义乌市水墨针织有限公司
3,,33330303000421,330303,电镀,标准排放口,91330303MA2854QK52,温州市龙湾环科电镀污水处理厂
3,,33331082001131,331082,重金属,1#排口,913310822551904081,台州市劲松电镀股份有限公司
3,,33330185000811,330185,污水处理厂,标排口,91330185679864728A,临安市太湖源镇污水处理厂
3,,33330825000562,330825,水泥,窑头排口,913308251478152554,浙江杜山集团有限公司
3,,33330411011111,330411,污水处理厂,总排口,9133041159058763XE,嘉兴市秀洲区市泾污水处理厂
3,,33330304000451,330304,皮革,标准排放口,91330304MA2963923N,浙江中瓯皮业有限公司
3,,33330503100451,330503,纺织染整,标排口,9133050379336775XD,湖州三地染整有限公司
3,,33330185025371,330185,造纸,标排口1#,91330185728905582Q,临安市王氏造纸有限公司
3,,33330185010631,330185,纺织染整,标排口1#,913301857654511294,临安市新潮印花有限公司
3,,33330304000541,330304,皮革,标准排放口,91330304MA2877F19C,温州瑞科皮业有限公司
3,,33330206002061,330206,电镀,废水排放口,73015899-3,宁波韩华磁电有限公司
3,,33330261000501,330261,纺织染整,标排口,91330201340632012K,宁波禾成染整有限公司
3,,33330212000271,330212,纺织染整,标排口,913302127048598414,宁波市鄞州夏胜漂染针织制衣有限公司
3,,33330781001021,330781,纺织染整,标排口,91330781680719202K,兰溪亚华纺织印染有限公司
3,,33330127000121,330127,纺织染整,标排口,91330127704270455C,杭州商辂丝绸有限公司
3,,33330621000571,330603,纺织染整,标排口,9133062171618380XL,浙江大和纺织印染服装（集团）有限公司
3,,33330803000121,330803,食品加工,标排口,9133080077721258XG,浙江明旺乳业有限公司
3,,33330782010761,330782,纺织染整,标排口,91330782609791906H,义乌市天力拉链有限公司
3,,33330621001911,330603,纺织染整,标排口,913306217392385278,绍兴力博得纱洗整理有限公司
3,,33330621000731,330603,纺织染整,标排口,91330621733827689M,浙江天龙数码印染有限公司
3,,33330206000261,330206,污水处理厂,废水排放口,91330206726387291X,宁波北仑岩东水务有限公司岩东污水处理厂
3,,33330621001192,330603,热电,废气排放口,91330621146044196N,浙江永利热电有限公司
3,,33330621006332,330603,化工,1#烟囱,91330621551758301G,浙江天圣化纤有限公司（原南方石化）
