Date,Open,High,Low,Close,Turnover,日收益率
2019-12-17,4.38,4.56,4.36,4.49,118378232,0.022779043280182355
2019-12-18,4.47,4.53,4.46,4.48,52106216,-0.0022271714922048524
2019-12-19,4.49,4.53,4.46,4.48,82879968,0.0
2019-12-20,4.49,4.52,4.42,4.43,85313544,-0.011160714285714444
2019-12-23,4.45,4.47,4.38,4.39,77086752,-0.009029345372460505
2019-12-24,4.4,4.43,4.36,4.38,88633656,-0.002277904328018175
2019-12-25,4.38,4.4,4.32,4.37,45173488,-0.0022831050228310015
2019-12-26,4.38,4.46,4.37,4.43,66227524,0.013729977116704716
2019-12-27,4.41,4.5,4.41,4.44,78800224,0.0022573363431152766
2019-12-30,4.41,4.41,4.3,4.39,127846008,-0.01126126126126142
2019-12-31,4.37,4.42,4.35,4.41,81183760,0.004555808656036552
2020-01-02,4.45,4.55,4.43,4.45,137615856,0.009070294784580506
2020-01-03,4.47,4.48,4.41,4.42,91197592,-0.006741573033707921
2020-01-06,4.4,4.43,4.35,4.36,126331456,-0.013574660633484075
2020-01-07,4.38,4.42,4.36,4.4,73466528,0.009174311926605512
2020-01-08,4.37,4.39,4.32,4.33,70356904,-0.015909090909090973
2020-01-09,4.36,4.39,4.29,4.31,122460384,-0.004618937644341908
2020-01-10,4.32,4.33,4.25,4.28,106386904,-0.006960556844547416
2020-01-13,4.28,4.29,4.22,4.28,104395088,0.0
2020-01-14,4.3,4.35,4.28,4.29,109070736,0.002336448598130791
2020-01-15,4.28,4.3,4.22,4.23,94876952,-0.013986013986013894
2020-01-16,4.24,4.24,4.16,4.18,140137232,-0.011820330969267306
2020-01-17,4.17,4.21,4.16,4.18,87697712,0.0
2020-01-20,4.18,4.21,4.16,4.2,83315360,0.004784688995215422
2020-01-21,4.18,4.19,4.11,4.13,105057480,-0.016666666666666732
2020-01-22,4.13,4.17,4.08,4.17,124398656,0.009685230024213084
2020-01-23,4.13,4.15,3.98,4.02,178341840,-0.03597122302158282
2020-02-03,3.68,3.79,3.66,3.73,254846592,-0.07213930348258697
2020-02-04,3.72,3.82,3.71,3.8,158162848,0.01876675603217154
2020-02-05,3.8,3.84,3.76,3.79,113966152,-0.002631578947368365
2020-02-06,3.81,3.83,3.76,3.81,136778480,0.0052770448548812715
2020-02-07,3.79,3.8,3.74,3.79,108389936,-0.005249343832021002
2020-02-10,3.77,3.8,3.75,3.78,105800112,-0.0026385224274406943
2020-02-11,3.79,3.89,3.79,3.88,174771312,0.02645502645502648
2020-02-12,3.87,3.89,3.85,3.89,68781104,0.0025773195876289258
2020-02-13,3.87,3.89,3.86,3.86,68076128,-0.007712082262210861
2020-02-14,3.86,3.89,3.85,3.89,69753784,0.007772020725388666
2020-02-17,3.87,3.97,3.87,3.96,113248048,0.017994858611825152
2020-02-18,3.94,3.96,3.9,3.92,77170192,-0.01010101010101011
2020-02-19,3.91,3.95,3.88,3.9,89140776,-0.005102040816326535
2020-02-20,3.9,3.95,3.88,3.95,135407296,0.01282051282051289
2020-02-21,3.94,3.95,3.9,3.93,113342824,-0.005063291139240511
2020-02-24,3.91,3.93,3.89,3.89,128267256,-0.010178117048346065
2020-02-25,3.86,3.87,3.82,3.85,133728944,-0.010282776349614406
2020-02-26,3.82,3.9,3.81,3.86,139691952,0.002597402597402542
2020-02-27,3.86,3.91,3.86,3.88,86903728,0.005181347150259072
2020-02-28,3.85,3.86,3.78,3.78,118339360,-0.025773195876288683
2020-03-02,3.79,3.87,3.78,3.86,92980056,0.021164021164021184
2020-03-03,3.88,3.9,3.86,3.87,99835864,0.0025906735751295936
2020-03-04,3.86,3.89,3.84,3.87,71803608,0.0
2020-03-05,3.88,3.99,3.86,3.97,208812256,0.02583979328165377
2020-03-06,3.94,3.96,3.9,3.9,98832288,-0.017632241813602085
2020-03-09,3.85,3.86,3.8,3.82,133675600,-0.02051282051282053
2020-03-10,3.8,3.88,3.8,3.87,118906288,0.013089005235602165
2020-03-11,3.87,3.88,3.82,3.82,97590640,-0.012919896640826942
2020-03-12,3.82,3.84,3.79,3.81,91487632,-0.002617801047120363
2020-03-13,3.72,3.79,3.69,3.77,158109456,-0.010498687664042003
2020-03-16,3.77,3.78,3.66,3.67,121255432,-0.026525198938992064
2020-03-17,3.67,3.72,3.65,3.7,113807608,0.008174386920980995
2020-03-18,3.7,3.73,3.62,3.63,106880872,-0.018918918918918996
2020-03-19,3.61,3.63,3.5,3.52,187192832,-0.03030303030303027
2020-03-20,3.53,3.61,3.51,3.57,121717456,0.014204545454545404
2020-03-23,3.52,3.53,3.48,3.5,84422160,-0.019607843137254857
2020-03-24,3.53,3.58,3.52,3.57,106280152,0.019999999999999955
2020-03-25,3.61,3.66,3.59,3.64,110519432,0.01960784313725498
2020-03-26,3.61,3.63,3.61,3.62,7282484,-0.005494505494505499
