上映时间,评分,评价人数,一句话总结
2013,8.5,403048,小成本大魅力。
2005,8.7,279563,做一颗让别人需要你的棋子。
2006,8.5,448272,一个单凭体香达到高潮的男人。
2002,8.6,336048,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
2008,8.6,387055,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
1953,9.2,102089,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
1996,8.5,353591,不可猜的青春迷笛。 
2013,8.6,332857,爱我就给我看你的播放列表。
1997,8.8,199923,一部能引人思考的科幻励志片。
2008,8.7,217580,世界离独裁只有五天。
2016,8.3,724650,过去的如果就让它过去了，未来只会越来越糟！
2003,8.6,291263,一个精彩的世界观正在缓缓建立。
2015,8.8,224648,新闻人的理性求真。
2003,9.0,132039,你要相信，这世上真的有爱存在，不管在什么年纪 
2011,9.1,124365,宝莱坞的萝莉与大叔。
2015,8.4,390905,诺兰的牛逼来源于内心散发出的恐惧。
1998,8.9,145147,还原真实而残酷的战争。
2003,8.6,315071,只有有信仰的人才能说出事实真相。
