职位名称,公司全称,公司人数,发布时间,工作城市,薪资待遇,工作经验,学历要求,职位优势
会计,深圳市锦顺源物业管理有限公司,50-150人,2020-12-25 9:18,深圳,8k-9k,3-5年,大专,发展前景好
应付会计(J11803),朗新科技集团股份有限公司,2000人以上,2020-12-31 9:42,无锡,4k-6k,在校/应届,本科,大平台，福利待遇好，朝九晚六，周末双休
财务会计,深圳必闻文化发展有限公司,15-50人,2020-12-14 9:34,深圳,4k-8k,1-3年,大专,"发展空间大,绩效奖金多"
会计,中晟国亚财税顾问（北京）有限公司,50-150人,2020-12-29 9:30,北京,4k-8k,1-3年,大专,周末双休 节假日休息 带薪年假
财务人员/会计,湖北振华化学股份有限公司,500-2000人,2020-12-31 17:20,黄石,4k-8k,5-10年,本科,五险一金、工作餐、通勤车、***员可申请住宿
会计助理,湖北神州顺利办科技有限公司,150-500人,2020-12-29 14:19,武汉,3k-6k,1年以下,大专,专业是会计的灵魂
会计,陕西宏存财务管理咨询有限公司,15-50人,2020-8-31 7:26,西安,5k-8k,不限,本科,周末双休，氛围好
总账会计,上海莉莉丝科技股份有限公司,500-2000人,2020-12-28 17:13,上海,8k-15k,3-5年,本科,"弹性工作,工作氛围好"
财务会计,德徕美（广州）国际医疗管理有限公司,50-150人,2020-12-18 12:01,广州,4k-6k,1-3年,大专,公司待遇与能力成正比，只要你有能力即可！
会计,北京宏启瑞商贸有限公司,少于15人,2020-12-9 15:54,北京,6k-8k,1-3年,本科,期待专业的你加入
会计,北京紫荆城会计有限公司,15-50人,2020-12-28 23:18,北京,5k-7k,1-3年,不限,双休 五险
应付会计(J11803),朗新科技集团股份有限公司,2000人以上,2020-12-31 9:42,无锡,4k-6k,在校/应届,本科,上市公司 福利待遇好
会计,中科天环环境工程（北京）有限公司,15-50人,2020-12-29 15:22,北京,4k-6k,1-3年,大专,环境工程，环保行业，污水处理
成本会计,广州今美伦商贸有限公司,150-500人,2021-1-1 3:00,广州,5k-7k,1-3年,大专,会计
